بزغاله بودن ، بهتر از حرامزاده بودن است	Ardalan	ardalanmusavi	UK			
ای ول	minimatn	minimatn	not-given			
مرگ براصل ولايت يزيد	asareh	asareh16azar	not-given			
ماه محرم است خدايا مردم ايران را ازشروجوداين هيولاها نجات بده مامان ميگه آخرهاي زمان شاه هم همينطوربودوخيلي اميدواره من هم خيلي اميددارم	asareh	asareh16azar	not-given			
جاي دوستان خالي بعد ازچندسال ناهاروعصرونه وشام كلم پلوخوردم مامان توش نعناع زده بود خيلي خوشمزه بود يك بارتودانشگاه دادند هيشكي نخورد	asareh	asareh16azar	not-given			
احمدي كم آوزده شعبان بي مخ آورده ازشعارهاي آذر	asareh	asareh16azar	not-given	#iranelection		
كبري بنازاده اميرخيزي از زندانيان سياسي در زندان گوهر دشت را به بيماري هپاتيت بي مبتلا كردند وي دچار خونريزي ونابينايي است	bari	iranchallenge	not-given	#iranelection		
پايگاه اطلاع رساني پزشگان ايران در نامه اي به بان كيمون استفاده پليس ضد شورش رژيم از گاز شيميايي تظاهر كنندگان	bari	iranchallenge	not-given	#iranelectionعليه		
اين است شعار ملي اي مرگ بر سيد علي	bari	iranchallenge	not-given	#iranelection,#iran,#1Esfand		
کارتون های کره شمالی	A-IRANI	afrairani	TEHRAN			http://t.co/SqaVAf0O
در مورد این کمپین به دوستان خود هم اطلاع رسانی کنید تا وقت هست با همفکری هم یه برنامه برای شادی کردن ترتیب بدیم به	A-IRANI	afrairani	TEHRAN			http://t.co/moTshjEU
خواب پریشان دبکتاتور ها	A-IRANI	afrairani	TEHRAN			http://t.co/4b3iFq9M
در خیابان ستارخان درگیری شدیدی برقرار است	diaazpam	diaazpam	guney azerbaycan		@Goftaniha	
صدوشصت و هشت ایرانی کشته شدند رهبر ایران نه پیام تسلیت صادر کرد نه عزای عمومی اعلام کرد	diaazpam	diaazpam	guney azerbaycan			
یروهای لباس شخصی و گارد ویژه که اکثرآنها سوار بر موتورهستند به طورغیرمنتظره ای مردم عادی را در حوالی میدان ولیعصر مورد ضرب وشتم قرار می دهند	rsam	rsam1982	not-given			
زاينده رود زنده رود شد	Irane sar sabz	Navaye_Boom	not-given	#iran,#Environment		http://t.co/7eRIprIW
با صدور دستور فرمانداري اصفهان؛ برگزاري نمايشگاه زاينده رود لغو مجوز شد	Irane sar sabz	Navaye_Boom	not-given			http://t.co/leM6crFB
سلام آزادى ما در گروه اصلات ماست و تا روزى كه يكى نشويم آش همين است كه هست	parviz.p	parviz1353	not-given		@jadi	
افزايش قيمت نه تغيير قيمت آرى	parviz.p	parviz1353	not-given			
ميزان خارج كارگران درصد از ماه پيشين است	parviz.p	parviz1353	not-given			
دلم واسه سرما خوردگى تنگ شده خيلى وقته سرما نخوردم	PishGoo	AAHASSAS	iran-tehran			
با اصل حرفهای بهنود موافقم ، pic	CraCker7.2	Mastercrackers	not-given			http://ff.im/Hjstr
عماد خراسانی از جمله شیفتگان تفکر خیام بود ، که شبی مست مست به مزار خیام میآید و در حالت مستی این اشعار را pic	CraCker7.2	Mastercrackers	not-given			http://ff.im/GATHd
بالاتری ترکیده ؟	CraCker7.2	Mastercrackers	not-given			http://ff.im/FSGew
پس آي فيلم كي مي خواد پاورچينو نشون بده اصلا چرا ستايش آشغالي رو جاش گذاشت نمي شد شب دهم رو بذاره كه هم قشنگه هم زودتر تموم مي شه	maryam	essfand	Tehran			
دوباره اين موس رو دستم گرفتم آرتروزم عود كرد پير كردم خودمو	maryam	essfand	Tehran			
بابا دوبار اومد تو اتاق يه بار داشتم فايلاي كامپوتر رو مرتب ميكردم يه بارم داشتم اس ام اس ميدادم فك كنم نااميد شد كلا	maryam	essfand	Tehran			
یکی میگفت اولین نفری که ازش خوشت بیاد و بهش نمی رسی فکر کن تا نفر بعدی پیدا بشه موهام رنگ دندونام میشه	ghazaleh ahmadizadeh	ghazalehA	not-given			
طرفدار موسوی آزادیخواهان اگر روش دیگری را می خواهند برگزینند، چرا پیشتر مدت ها قبل به فکر چاره نیافتاده اند؟ ا	tehran 	tehran12	not-given			
هوادار موسوی تنهــا ابطــال آراء lt lt lt lt در صورت لزوم اعتصاب عمومی	tehran 	tehran12	not-given			
پیامی به موسوی و هوادارن ایشان اعتصاب عمومی عدم کشتار مردم فلج کردن حاکمیت و دستگاه دولت نامشروع	tehran 	tehran12	not-given			
توئيتر مرا ميخواند اما اما من تعطيلم؛ريتوئيت هم حسابه بَبَم جان؟	ECUTi	ECUTi	not-given			
خوابم مياد خيلى زياد؛به تخماتم خيلى مياد داشتم راه ميرفتم نزديک بود بيفتم سس شم	ECUTi	ECUTi	not-given			
توئيتمون که نمياد عمه مون ترجيح ميده داوطلبانه دنبال شوهر بگرده؛همچى آدمى تشيف داريم	ECUTi	ECUTi	not-given			
نه میگم یه جنبش پان ترک راه بندازیم توییتر رو تجزیه کنیم مثلا دی	Alireza Gholami	qartal	not-given		@Pharshud	
عکس خوابگاه دانشجویان دختر یا بازداشتگاه کهریزک	Sam Irani	PersianHonor	not-given	#iranelection,#iran		http://t.co/7ZZIfPTQ
محکومیت هیلا صدیقی،به چهار ماه حبس تعزیری و پنج سال حبس تعلیقی فیلم	Sam Irani	PersianHonor	not-given	#iranelection,#iran		http://t.co/4NSRiE7
آقا سربازی خعلی خوبه مخصوصا اگه منشی بشی	امیرُسین	Amirhshad	not-given			
اصطلاحات کرمونی فقط یک كرموني می تواند یک جمله با فعل بسازد داشتم می رفتم برم ،دیدم گرفت نشست ،گفتم بذار بپرسم بیبینم میاد ،نیمیاد	امیرُسین	Amirhshad	not-given			
اعلامیه فراخوان ٢٤ اسفند و شعار مرگ بر خامنه ای بر روی در دفتر آخوند فاضل لنکرانی در مشهد	Fahim	higlybigly	Iran-Tehran			http://t.co/rDKUOfu
میگه در نزدیکیش خوبه دوریش بده بله آقای نامجو رو عرض میکنم	سمن.غ	saman_ghf	tehran			
آقا یکی بیاد مردونه بگه از کی دیگه نون نداریم بخوریم دیگه لحظه به لحظه ارزش دلار رو مرور نکنیم آی در ضمن	سمن.غ	saman_ghf	tehran			
شبا حالت خرابه ها میای نیم ساعت اینجا ازهیچی دوس ندارم شروع میکنی آخرشم عصبانی میشی میگی من دارم با کی حرف میزنم؟	Aria R.	Aria	Tehran		@elz_z	
سکولاریسم در ایران یعنی برابری زن و مرد	poshteh kooh	poshtehkooh	not-given			http://www.persian.rfi.fr/node/22852
ایرانسل و همراه اول بعد از قطعی دوباره به راه افتاد	Reza Radmanesh	fararei	Iran			
موقع ثبت نام ارشد یه گندی زدم که بوش سر جلسه بلند میشه امیدوارم بدبخ نشم	Jalal™	jalalx	Mashhad, Iran			
این چرا عکس گیف پروفایلمو اعمال نکرد؟؟؟ توعیتر اُسگل	Jalal™	jalalx	Mashhad, Iran			
هم اکنون احمدی نژاد در حال سخنرانی پیش از خطبه نماز جمعه است شعار مرگ بر موسوی عده ای حین سخنرانی احمدی نژاد از صدا و سیما پخش شد	areshio	areshio	not-given	#iran		
خامنه ای نتایج انتخابات را خود شخص امام زمان به بنده ایمیل زده بود	areshio	areshio	not-given			
رايمان را بردند شعورمان را بردند آزاديمان را بردند ديگر چه مانده است که ببرند؟ جانمان؟	areshio	areshio	not-given			
آرای انتخابات مجلس ششم کروبی را سرجمع می زدی، از این بیشتر می‌شد	areshio	areshio	not-given			
داف به این میگنا الان کل فامیل خونه ایناس این پاشده رفته دوردور با دوستاش	نون	navdun	not-given			
ایران آتش زیر خاکستر صالح المطلک حمله به اشرف توسط مزدوران نوری مالکی ر	Neda-e- Iran	Bravewomen	Canada			http://t.co/oX0fpzO
سناتور جان مک‌کین باید پای دموکراسی در ایران ایستاد و به مردم ایران هم گفت که ما در کنارشان هستیم via	Neda-e- Iran	Bravewomen	Canada		@AddThis	http://t.co/rdkX86h
من میخوام عطر فروشی بزنم دارم تحقیقات می کنم نظری ندارین؟	amireon	amireon	not-given			http://ff.im/rV3Ds
قانون بيز	amireon	amireon	not-given			
دیرگاهیست بازی را باخته ای من اما هنوز ادامه میدهم آنقدر که تو برنده شوی بعد بازی را تمام میکنم من از تو بردن را دوست ندارم	jamal mohammadi	jenkhof	iran			
یارو معتاد بود با پنجاه تومان نمونه آزمایش رو عوض کرد همچین مملکتی داریم	meisam abd	M3154M	Rain City			
خدا چرا منو از شر ویندوز خلاص نمیکنی خداااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااااا	Hamid	hamid_tb	iran			
از قديم كفتن دختر يا دكتر ميشه يا خوشكل	رضا	1nevis	not-given			
خبرهاي رسيده از تلاش حكومت براي «يكسره كردن» كار سران جنبش سبز در همين ساعات آينده حكايت دارند	pedram	RahiSabz	not-given			
اینترنت کره برابر سریعتر از آمریکا	Irkhabar	Irkhabar	Iran			http://www.irkhabar.ir/news/80-news-internet/915-id372.html
خسته م خدایا خسته م از خیلی چیزا اه از این تنهایی دراز بیزارم	mohamad reza	janantan	iran-kermanshah			
شبکه ۴، مستند فوق العاده آقای هنر	mohamad reza	janantan	iran-kermanshah			
مجری شبکه کرمانشا میگه قطعن همه مردم که شب میرن بیرون چرخی بزنن، با خودشون میگن شاید لحظاتی قبل رهبر از اینجا گذشته باشه بعله خوب	mohamad reza	janantan	iran-kermanshah			
بستن تنگه‌ی اینترنت	Ramin	Khenzeri	not-given			
تست مرورگرها	aerabi abolhasan	aerabi	Iran			http://t.co/L1PtcHG
چشم انتظار حادثه‌ای ناگهان مباش با مرگ زندگی كن و با زندگی بمیر	Alooche	alooche	Tehran, Iran			
جوجه‌کباب می‌خوردم ارزون‌تر از این نون پنیر گوجه خیار نون سنگک در میومد ولی خب انقدر نمی‌چسبید بهم	Alooche	alooche	Tehran, Iran			
بنده خدا یکی از بچه ها ارمنیه اون بیچاره هم اومده بود تاریخ اسلام پاس کنه من جاش داشتم حرص میخوردم	mahmood	mahmoodiii	not-given			
در نهایت با وجود امتحان فردا و وجود فصل های نخونده باز تصمیم گرفتم برم استخر	mahmood	mahmoodiii	not-given			
i favorited a youtube video افزایش کاربران فیس بوک تا مرز نیم میلیارد نفر	Mojtaba Ebadi	dashmoji	not-given			http://youtu.be/yTWmDJsD98M?a
کم کن طمع از جهان و می‌زی خرسند از نیک و بد زمانه بگسل پیوند می در کف و زلف دلبری گیر که زود هم بگذرد و نماند این روزی چند	رباعیات خیام	khayyam_robaee	not-given			
بر چرخ فلک هیچ کسی چیر نشد وز خوردن آدمی زمین سیر نشد مغرور بدانی که نخورده‌ست ترا تعجیل مکن هم بخورد دیر نشد	رباعیات خیام	khayyam_robaee	not-given			
افسوس که سرمایه ز کف بیرون شد وز دست اجل بسی جگرها خون شد کس نامد از آن جهان که پرسم از وی کاحوال مسافران دنیا چون شد	رباعیات خیام	khayyam_robaee	not-given			
چین مانع انتشار گزارش مربوط به نقض تحریم های کره شمالی شد	VOA Persian	VOAPersian	Washington, D.C. U.S.A.			http://tinyurl.com/4y5npue
كسي ميدونه بازي پرسپوليس چي شد؟	marselo yanug	ymarselo	not-given			
نه بابا فكر نكنم روي اصلاح تاثير بذاره ولي تاثير رو اصلاح مي كنه	marselo yanug	ymarselo	not-given		@RezaAbasian	
ویدیوی ما در رابطه راهنما از بسیجیها درروزنامه له ستامپا منعکس شده است	ILF 1389	ILF1389	Iran	#22khordad,#iranelection		http://www.tinyurl.com.au/ass
